name,desc,url
Microsoft Office Suite,"A comprehensive suite of productivity tools including Word, Excel, PowerPoint, and Outlook for creating documents, spreadsheets, presentations, and managing emails.",https://help.illinoisstate.edu/technology/support-topics/communication-and-collaboration-tools/microsoft-365/microsoft-365-system-requirements
Adobe Creative Cloud,"A collection of professional-grade software for graphic design, video editing, photo editing, web development, and more. Includes applications like Photoshop, Illustrator, Premiere Pro, and Dreamweaver.",https://www.linkedin.com/pulse/adobe-creative-cloud-requirements-recommendations-alexander-moen-mba
AutoCAD,"A computer-aided design software used by architects, engineers, and designers for creating precise 2D and 3D drawings and models.",https://www.designmaster.biz/support/autocad-system-requiremen.html
MATLAB,"A programming and numerical computing software used in various scientific and engineering fields. It provides tools for data analysis, simulation, and algorithm development.",https://laptoplesson.com/what-are-the-minimum-requirements-of-a-laptop-for-running-matlab-smoothly/
Google Chrome,"A popular web browser known for its speed, security, and extensive library of extensions and plugins. ",https://support.google.com/chrome/a/answer/7100626
Minecraft,"A sandbox game that lets players build and explore virtual worlds made up of blocks. It offers endless possibilities for creativity, survival gameplay, and multiplayer interaction.",https://www.systemrequirementslab.com/cyri/requirements/minecraft/11356
PyCharm,"An IDE specifically designed for Python development, offering intelligent code completion, debugging tools, and a built-in terminal. It supports web development frameworks like Django and Flask.",https://www.jetbrains.com/help/pycharm/installation-guide.html#toolbox
VMware Workstation,"A virtualization software that enables you to run multiple operating systems simultaneously on a single computer. It is commonly used for software development and testing.",https://www.vmware.com/products/workstation-player.html
VirtualBox,"A free and open-source virtualization software that allows you to run multiple operating systems on a single computer, enabling you to test different software and configurations.",https://www.virtualbox.org/wiki/End-user_documentation
Adobe Photoshop,"The industry-standard software for image editing and manipulation. It allows you to enhance photos, create digital art, and design graphics.",https://blog.udemy.com/photoshop-system-requirements/
Adobe InDesign,"A professional desktop publishing software used for creating print and digital publications like magazines, brochures, and eBooks.",https://www.cgdirector.com/adobe-indesign-system-requirements-pc-recommendations/
Microsoft Visual Studio,"A comprehensive IDE for developing applications in various languages, including C#, C++, and Visual Basic. It offers a wide range of tools and features for software development.",https://digitallicense.shop/product/microsoft-visual-studio-2022-professional/